target_pitch,actual_pitch,target_roll,actual_roll,estimated_total_velocity,vertical_velocity,a_x,a_y,a_z
10.000000,10.347281,0.000000,3.137182,6.795782,0.785284,0.399541,0.208296,12.710816
10.000000,10.421281,0.000000,2.474758,6.975852,0.880391,0.342294,0.374693,12.315774
10.000000,10.447668,0.000000,2.619515,7.152435,0.993546,0.407890,0.568623,12.770672
10.000000,10.400218,0.000000,3.532810,7.336528,1.195277,0.341101,0.669179,11.890802
10.000000,10.443640,0.000000,4.472264,7.483743,1.266910,0.230183,0.900220,11.378444
10.000000,10.501604,0.000000,4.397243,7.623542,1.287811,0.234954,1.096544,10.614694
10.000000,10.457757,0.000000,3.963311,7.757885,1.300020,0.317248,0.349553,10.268731
10.000000,10.435675,0.000000,4.763653,7.902032,1.315690,0.361376,0.632069,10.492589
10.000000,10.137811,0.000000,5.556050,8.024059,1.334383,0.294587,0.840365,10.435128
10.000000,10.003927,0.000000,5.331728,8.134878,1.312066,0.190826,0.550666,10.032902
10.000000,9.973919,0.000000,4.150315,8.231823,1.278836,0.232569,-0.089783,9.337387
10.000000,9.940551,0.000000,3.220159,8.327089,1.213969,0.256422,-0.203507,10.019734
10.000000,9.871896,0.000000,2.835012,8.423804,1.191140,0.392385,-0.237026,9.673772
10.000000,9.937339,0.000000,2.684451,8.514863,1.167011,0.395963,0.043096,11.063606
2.920000,10.066563,0.000000,2.601082,8.620533,1.183550,0.533119,-0.059855,11.052833
3.760000,10.215130,-0.018122,2.102217,8.748133,1.236868,0.591560,-0.131681,11.943475
1.800000,8.975706,-0.053960,1.092157,8.714412,1.494128,0.453211,-0.025139,10.897209
7.280000,7.717288,-0.163127,1.058602,8.809928,1.467546,0.341101,0.076614,9.977836
12.120000,6.644761,-0.328599,1.093593,8.894284,1.386441,0.196789,0.348356,8.510190
18.440001,6.152617,-0.808798,1.267201,8.964916,1.264474,-0.094220,0.146046,8.058883
19.280001,6.488640,-0.889348,1.614780,9.030537,1.091336,-0.144312,0.050278,9.378088
19.240000,7.202783,-1.085400,1.772546,9.107774,1.061427,-0.236147,0.241814,10.685322
15.640000,8.775975,-1.972452,1.769554,9.286786,1.202797,0.323211,0.120907,12.449849
15.800000,9.306709,-2.185586,2.043675,9.366656,1.246094,0.228991,-0.252588,10.658986
14.520000,10.032832,-2.147985,1.914609,9.436017,1.250548,0.242110,0.307655,10.411186
14.760000,10.784980,-1.930437,1.227229,9.494961,1.255929,0.494954,0.477643,11.009736
9.600000,11.385657,-1.967518,0.794167,9.560081,1.290225,0.691743,0.567426,11.797429
4.800000,12.137425,-1.989130,1.289118,9.638804,1.382774,0.946972,0.870292,11.384429
3.920000,12.366408,-2.083249,1.157948,9.694810,1.407122,0.942202,0.770933,10.758346
4.560000,12.064336,-2.234992,0.341446,9.750865,1.413522,0.820550,0.599748,10.907983
5.400000,11.207096,-2.586977,-0.559347,9.807577,1.434094,0.803853,0.234632,9.981427
4.400000,10.184833,-3.637891,-0.905067,9.824759,1.388131,0.772844,0.271742,9.114726
1.760000,9.172299,-4.172444,-0.747468,9.825215,1.241192,0.681009,0.750582,7.943961
0.080000,8.648099,-5.315244,-0.968995,9.828536,1.127978,0.596330,0.492008,8.467094
0.120000,8.565819,-6.861790,-1.725146,9.835790,1.022449,0.740642,-0.120907,7.736863
0.080000,8.408066,-7.306565,-2.734367,9.847222,0.968091,0.870642,-0.228646,11.043256
0.120000,7.894924,-7.588472,-3.713366,9.863234,0.958030,0.975596,-0.640449,9.506178
0.200000,6.979579,-8.122258,-4.935996,9.878780,0.942171,0.869449,-0.318429,9.631873
0.040000,5.654521,-8.786991,-6.516365,9.892432,0.845215,0.788349,0.177171,7.846996
0.040000,4.746758,-8.980636,-6.980302,9.902016,0.728132,0.657156,-0.040701,6.986280
-0.000000,4.497850,-6.232852,-6.880360,9.870576,0.253584,0.504495,-0.023942,7.572860
-0.000000,4.690322,-4.922229,-7.555542,9.886088,0.116316,0.617798,0.379481,7.787141
-0.000000,4.757246,-4.528709,-7.730208,9.903130,0.035270,1.076972,0.524330,9.657013
-0.000000,4.485023,-4.232574,-6.804896,9.921023,0.011342,1.227248,0.647632,9.042900
-0.000000,4.305886,-4.037051,-5.820041,9.938988,-0.024576,1.191468,0.602142,9.882068
-0.000000,4.159695,-3.477277,-5.534892,9.960252,-0.042520,1.185504,0.561440,9.227253
0.040000,4.062728,-2.832529,-5.821259,9.978377,-0.081905,1.295229,0.193930,9.532514
-0.000000,3.748712,-2.387837,-6.156612,9.994918,-0.103297,1.243945,0.767342,9.203311
-0.000000,3.103397,-1.981861,-6.224082,10.010975,-0.123641,1.236789,0.705092,8.746018
-0.000000,2.721202,-1.883190,-5.944544,10.032559,-0.242610,1.228440,0.338780,8.418014
-0.000000,2.645831,-1.882751,-5.277389,10.030838,-0.307674,1.253486,0.204704,8.145074
-0.000000,2.603265,-2.127076,-4.865677,10.026280,-0.358680,1.229633,0.645237,9.405622
0.960000,2.463346,-2.839122,-4.703490,10.017571,-0.407797,1.008991,0.681150,9.315839
1.800000,2.278933,-3.914634,-4.775506,10.008334,-0.421954,1.087706,0.186748,8.656237
2.520000,2.160547,-5.593738,-4.692264,10.001899,-0.466048,0.884954,0.167594,9.290700
4.640000,2.164305,-7.742289,-4.802743,9.995161,-0.504552,0.763303,0.598550,9.080010
6.160000,2.374192,-9.192117,-5.407908,9.986626,-0.521480,0.847982,0.199916,9.515755
9.120000,2.784592,-9.543875,-6.584962,9.977745,-0.531198,0.743027,-0.254982,9.728839
11.640000,3.510945,-9.754219,-7.981204,9.963101,-0.477566,0.782385,-0.316035,10.894814
14.880000,4.294916,-9.849955,-8.001348,9.950646,-0.407990,1.168807,-0.669179,12.769475
16.639999,5.030550,-9.765816,-7.396541,9.934915,-0.169016,1.311926,-0.399832,11.766304
16.520000,6.397832,-9.659825,-7.840814,9.903672,0.173024,1.290458,0.254982,11.852495
18.959999,6.796518,-8.428812,-8.537550,9.892710,0.240458,1.192660,0.266953,11.827356
19.959999,7.054654,-7.965389,-8.970272,9.880050,0.395917,0.964862,0.302867,10.584765
19.760000,7.548429,-7.448829,-9.112621,9.871366,0.435794,0.893303,-0.241814,10.269928
11.960000,8.326009,-6.994513,-8.797518,9.860153,0.474495,1.144954,-0.110133,10.380061
6.920000,9.082674,-5.575028,-8.146549,9.850249,0.562528,1.124679,0.641646,11.589133
5.120000,9.701927,-4.184159,-7.728499,9.837772,0.644615,1.397798,0.310049,10.844537
3.360000,9.873439,-3.781076,-7.519415,9.837667,0.733005,1.526605,0.319626,10.747571
3.160000,9.619479,-3.756641,-7.172305,9.834224,0.797132,1.517064,0.712275,11.306618
4.240000,8.940046,-3.831643,-6.816448,9.837892,0.851419,1.388257,0.465672,10.060435
5.560000,7.873382,-3.944189,-6.096467,9.843182,0.858945,1.131835,0.664391,9.625888
7.120000,7.076698,-4.139534,-5.565407,9.846280,0.835759,1.171193,0.567426,9.063251
7.560000,6.535044,-4.418521,-5.360693,9.851513,0.811857,1.184312,0.652420,9.313444
6.960000,6.543724,-4.601532,-5.356188,9.856055,0.751289,0.896881,0.456095,8.722076
